"SecurityID","Symbol","ContractCode","ShortName","TradingDate","DataType","ExchangeCode","CallOrPut","UnderlyingSecurityID","Filling","ContinueSign","MainSign","PreClosePrice","PreSettlePrice","PrePosition","PositionChange","AvgPrice","ClosePriceChangeRatio","SettlePriceChangeRatio","Amplitude","LimitUp","LimitDown","InitialMargin","MaintainingMargin","InitialMarginRatio","MaintainingMarginRatio","ChangeRatio"
"209000000083","10000003","600104C1401M01400","上汽集团购1月1400","2014-01-14","2","SSE","C","201000003456","0","P9801","2","","","","","0.4373","","","","1.6340","0.0010","","13687.5000","","20.8810",""
"209000000104","10000024","600104C1403M01500","上汽集团购3月1500","2014-01-14","2","SSE","C","201000003456","0","P9803","2","","","","","0.2836","","","","1.3550","0.0010","","8347.5000","","12.7346",""
"209000000084","10000004","600104C1401M01500","上汽集团购1月1500","2014-01-14","2","SSE","C","201000003456","0","P9801","2","","","","","0.0593","","","","1.1560","0.0010","","7087.5000","","10.8124",""
"209000000085","10000005","600104C1401M01600","上汽集团购1月1600","2014-01-14","2","SSE","C","201000003456","0","P9801","2","","","","","0.0515","","","","1.0350","0.0010","","6705.0000","","10.2288",""
"209000000086","10000006","600104P1401M01200","上汽集团沽1月1200","2014-01-14","2","SSE","P","201000003456","0","P9801","2","","","","","0.1156","","","","1.2480","0.0010","","11087.5000","","16.9146",""
"209000000087","10000007","600104P1401M01300","上汽集团沽1月1300","2014-01-14","2","SSE","P","201000003456","0","P9801","2","","","","","0.3809","","","","1.7390","0.0010","","17477.5000","","26.6629",""
"209000000088","10000008","600104P1401M01400","上汽集团沽1月1400","2014-01-14","2","SSE","P","201000003456","0","P9801","2","","","","","1.1025","","","","2.4610","0.0010","","21717.5000","","33.1312",""
"209000000117","10000037","600104P1406M01300","上汽集团沽6月1300","2014-01-14","2","SSE","P","201000003456","0","P9804","2","","","","","1.2562","","","","2.5840","0.0010","","22397.5000","","34.1686",""
"209000000089","10000009","600104P1401M01500","上汽集团沽1月1500","2014-01-14","2","SSE","P","201000003456","0","P9801","2","","","","","2.1210","","","","3.5150","0.9130","","26592.5000","","40.5683",""
"209000000090","10000010","600104P1401M01600","上汽集团沽1月1600","2014-01-14","2","SSE","P","201000003456","0","P9801","2","","","","","2.9723","","","","4.3460","1.7440","","31387.5000","","47.8833",""
"209000000091","10000011","600104C1402M01200","上汽集团购2月1200","2014-01-14","2","SSE","C","201000003456","0","P9802","2","","","","","1.7770","","","","3.0280","0.4260","","24727.5000","","37.7231",""
"209000000105","10000025","600104C1403M01600","上汽集团购3月1600","2014-01-14","2","SSE","C","201000003456","0","P9803","2","","","","","0.1729","","","","1.1540","0.0010","","7365.0000","","11.2357",""
"209000000092","10000012","600104C1402M01300","上汽集团购2月1300","2014-01-14","2","SSE","C","201000003456","0","P9802","2","","","","","0.9969","","","","2.2480","0.0010","","21142.5000","","32.2540",""
"209000000106","10000026","600104P1403M01200","上汽集团沽3月1200","2014-01-14","2","SSE","P","201000003456","0","P9803","2","","","","","0.4182","","","","1.5400","0.0010","","12897.5000","","19.6758",""
"209000000113","10000033","600104C1406M01400","上汽集团购6月1400","2014-01-14","2","SSE","C","201000003456","0","P9804","2","","","","","0.9814","","","","2.1310","0.0010","","17542.5000","","26.7620",""
"209000000093","10000013","600104C1402M01400","上汽集团购2月1400","2014-01-14","2","SSE","C","201000003456","0","P9802","2","","","","","0.4732","","","","1.6380","0.0010","","14352.5000","","21.8955",""
"209000000094","10000014","600104C1402M01500","上汽集团购2月1500","2014-01-14","2","SSE","C","201000003456","0","P9802","2","","","","","0.1329","","","","1.2090","0.0010","","7907.5000","","12.0633",""
"209000000107","10000027","600104P1403M01300","上汽集团沽3月1300","2014-01-14","2","SSE","P","201000003456","0","P9803","2","","","","","0.6604","","","","1.9970","0.0010","","20087.5000","","30.6445",""
"209000000095","10000015","600104C1402M01600","上汽集团购2月1600","2014-01-14","2","SSE","C","201000003456","0","P9802","2","","","","","0.0611","","","","1.0540","0.0010","","7050.0000","","10.7551",""
