"SecurityID","ContractCode","ShortName","CallOrPut","TradingDate","DataType","Symbol","ExchangeCode","StrikePrice","ExerciseDate","ClosePrice","UnderlyingScrtClose","RemainingTerm","RisklessRate","HistoricalVolatility","ImpliedVolatility","TheoreticalPrice","Delta","Gamma","Vega","Theta","Rho"
"209000000046","510180P1401M01900","180ETF沽1月1900","P","2014-01-14","2","90000046","SSE","1.900","2014-01-22","0.0140","1.918","0.0219","3.0000","0.1882","0.1981","0.0130","","","","",""
"209000000047","510180P1401M01950","180ETF沽1月1950","P","2014-01-14","2","90000047","SSE","1.950","2014-01-22","0.0420","1.918","0.0219","3.0000","0.1882","0.2061","0.0402","","","","",""
"209000000048","510180P1401M02000","180ETF沽1月2000","P","2014-01-14","2","90000048","SSE","2.000","2014-01-22","0.0830","1.918","0.0219","3.0000","0.1882","0.2034","0.0824","","","","",""
"209000000141","601318C1403M03500","中国平安购3月3500","C","2014-01-14","2","10000061","SSE","35.000","2014-03-26","5.6980","39.990","0.1945","3.0000","0.2859","0.3333","5.5140","","","","",""
"209000000043","510180C1401M02000","180ETF购1月2000","C","2014-01-14","2","90000043","SSE","2.000","2014-01-22","0.0030","1.918","0.0219","3.0000","0.1882","0.2177","0.0017","","","","",""
"209000000119","600104P1406M01500","上汽集团沽6月1500","P","2014-01-14","2","10000039","SSE","15.000","2014-06-25","2.2950","13.110","0.4438","3.0000","0.3235","0.3448","2.2275","","","","",""
"209000000160","601318P1406M04500","中国平安沽6月4500","P","2014-01-14","2","10000080","SSE","45.000","2014-06-25","5.9440","39.990","0.4438","3.0000","0.2859","0.2927","5.8793","","","","",""
"209000000073","510180C1406M02000","180ETF购6月2000","C","2014-01-14","2","90000073","SSE","2.000","2014-06-25","0.1180","1.918","0.4438","3.0000","0.1882","0.2790","0.0720","","","","",""
"209000000159","601318P1406M04250","中国平安沽6月4250","P","2014-01-14","2","10000079","SSE","42.500","2014-06-25","4.3220","39.990","0.4438","3.0000","0.2859","0.2996","4.1782","","","","",""
"209000000069","510180P1403M02050","180ETF沽3月2050","P","2014-01-14","2","90000069","SSE","2.050","2014-03-26","0.1470","1.918","0.1945","3.0000","0.1882","0.2056","0.1423","","","","",""
"209000000152","601318C1406M03750","中国平安购6月3750","C","2014-01-14","2","10000072","SSE","37.500","2014-06-25","4.8750","39.990","0.4438","3.0000","0.2859","0.3096","4.6522","","","","",""
"209000000156","601318P1406M03500","中国平安沽6月3500","P","2014-01-14","2","10000076","SSE","35.000","2014-06-25","1.0640","39.990","0.4438","3.0000","0.2859","0.3085","0.8951","","","","",""
"209000000190","510050P1403M01400","50ETF沽3月1400","P","2014-01-14","2","90000094","SSE","1.400","2014-03-26","0.0170","1.495","0.1945","3.0000","0.2038","0.2107","0.0157","","","","",""
"209000000072","510180C1406M01950","180ETF购6月1950","C","2014-01-14","2","90000072","SSE","1.950","2014-06-25","0.1400","1.918","0.4438","3.0000","0.1882","0.2807","0.0930","","","","",""
"209000000079","510180P1406M02050","180ETF沽6月2050","P","2014-01-14","2","90000079","SSE","2.050","2014-06-25","0.1900","1.918","0.4438","3.0000","0.1882","0.2504","0.1597","","","","",""
"209000000174","600104P1403M01100","上汽集团沽3月1100","P","2014-01-14","2","10000086","SSE","11.000","2014-03-26","0.1320","13.110","0.1945","3.0000","0.3235","0.3710","0.0826","","","","",""
"209000000102","600104C1403M01300","上汽集团购3月1300","C","2014-01-14","2","10000022","SSE","13.000","2014-03-26","1.0020","13.110","0.1945","3.0000","0.3235","0.3962","0.8368","","","","",""
"209000000155","601318C1406M04500","中国平安购6月4500","C","2014-01-14","2","10000075","SSE","45.000","2014-06-25","1.6500","39.990","0.4438","3.0000","0.2859","0.3051","1.4644","","","","",""
"209000000120","600104P1406M01600","上汽集团沽6月1600","P","2014-01-14","2","10000040","SSE","16.000","2014-06-25","2.8990","13.110","0.4438","3.0000","0.3235","0.2784","3.0106","","","","",""
"209000000111","600104C1406M01200","上汽集团购6月1200","C","2014-01-14","2","10000031","SSE","12.000","2014-06-25","3.2000","13.110","0.4438","3.0000","0.3235","0.7674","1.8216","","","","",""
"209000000150","601318P1403M04500","中国平安沽3月4500","P","2014-01-14","2","10000070","SSE","45.000","2014-03-26","5.5850","39.990","0.1945","3.0000","0.2859","0.3407","5.2933","","","","",""
"209000000088","600104P1401M01400","上汽集团沽1月1400","P","2014-01-14","2","10000008","SSE","14.000","2014-01-22","1.0660","13.110","0.0219","3.0000","0.3235","0.6366","0.9069","","","","",""
"209000000096","600104P1402M01200","上汽集团沽2月1200","P","2014-01-14","2","10000016","SSE","12.000","2014-02-26","0.2420","13.110","0.1178","3.0000","0.3235","0.3883","0.1587","","","","",""
"209000000172","600104P1402M01100","上汽集团沽2月1100","P","2014-01-14","2","10000084","SSE","11.000","2014-02-26","0.1200","13.110","0.1178","3.0000","0.3235","0.4586","0.0300","","","","",""
"209000000062","510180C1403M01950","180ETF购3月1950","C","2014-01-14","2","90000062","SSE","1.950","2014-03-26","0.0660","1.918","0.1945","3.0000","0.1882","0.2237","0.0541","","","","",""
"209000000057","510180P1402M01950","180ETF沽2月1950","P","2014-01-14","2","90000057","SSE","1.950","2014-02-26","0.0750","1.918","0.1178","3.0000","0.1882","0.2332","0.0633","","","","",""
"209000000082","600104C1401M01300","上汽集团购1月1300","C","2014-01-14","2","10000002","SSE","13.000","2014-01-22","0.7580","13.110","0.0219","3.0000","0.3235","0.9055","0.3130","","","","",""
"209000000149","601318P1403M04250","中国平安沽3月4250","P","2014-01-14","2","10000069","SSE","42.500","2014-03-26","3.7070","39.990","0.1945","3.0000","0.2859","0.3333","3.3922","","","","",""
"209000000018","510050P1402M01550","50ETF沽2月1550","P","2014-01-14","2","90000018","SSE","1.550","2014-02-26","0.0720","1.495","0.1178","3.0000","0.2038","0.2055","0.0717","","","","",""
"209000000173","600104C1403M01100","上汽集团购3月1100","C","2014-01-14","2","10000085","SSE","11.000","2014-03-26","2.9890","13.110","0.1945","3.0000","0.3235","0.8021","2.2566","","","","",""
"209000000124","601318C1401M04250","中国平安购1月4250","C","2014-01-14","2","10000044","SSE","42.500","2014-01-22","0.1540","39.990","0.0219","3.0000","0.2859","0.3693","0.0607","","","","",""
"209000000199","510180C1406M01800","180ETF购6月1800","C","2014-01-14","2","90000103","SSE","1.800","2014-06-25","0.2220","1.918","0.4438","3.0000","0.1882","0.2854","0.1800","","","","",""
"209000000034","510050C1406M01600","50ETF购6月1600","C","2014-01-14","2","90000034","SSE","1.600","2014-06-25","0.0600","1.495","0.4438","3.0000","0.2038","0.2357","0.0479","","","","",""
"209000000118","600104P1406M01400","上汽集团沽6月1400","P","2014-01-14","2","10000038","SSE","14.000","2014-06-25","1.8400","13.110","0.4438","3.0000","0.3235","0.4096","1.5415","","","","",""
"209000000192","510050P1406M01400","50ETF沽6月1400","P","2014-01-14","2","90000096","SSE","1.400","2014-06-25","0.0380","1.495","0.4438","3.0000","0.2038","0.2165","0.0339","","","","",""
"209000000167","510180C1406M01850","180ETF购6月1850","C","2014-01-14","2","90000087","SSE","1.850","2014-06-25","0.1910","1.918","0.4438","3.0000","0.1882","0.2818","0.1470","","","","",""
"209000000153","601318C1406M04000","中国平安购6月4000","C","2014-01-14","2","10000073","SSE","40.000","2014-06-25","3.4640","39.990","0.4438","3.0000","0.2859","0.3034","3.2812","","","","",""
"209000000129","601318P1401M04250","中国平安沽1月4250","P","2014-01-14","2","10000049","SSE","42.500","2014-01-22","2.6240","39.990","0.0219","3.0000","0.2859","0.3601","2.5428","","","","",""
"209000000041","510180C1401M01900","180ETF购1月1900","C","2014-01-14","2","90000041","SSE","1.900","2014-01-22","0.0320","1.918","0.0219","3.0000","0.1882","0.1863","0.0322","","","","",""
"209000000078","510180P1406M02000","180ETF沽6月2000","P","2014-01-14","2","90000078","SSE","2.000","2014-06-25","0.1600","1.918","0.4438","3.0000","0.1882","0.2524","0.1276","","","","",""
"209000000175","600104C1406M01100","上汽集团购6月1100","C","2014-01-14","2","10000087","SSE","11.000","2014-06-25","2.8000","13.110","0.4438","3.0000","0.3235","0.4397","2.5243","","","","",""
"209000000183","601318C1406M04750","中国平安购6月4750","C","2014-01-14","2","10000095","SSE","47.500","2014-06-25","1.0730","39.990","0.4438","3.0000","0.2859","0.3031","0.9314","","","","",""
"209000000023","510050C1403M01550","50ETF购3月1550","C","2014-01-14","2","90000023","SSE","1.550","2014-03-26","0.0380","1.495","0.1945","3.0000","0.2038","0.2177","0.0345","","","","",""
"209000000142","601318C1403M03750","中国平安购3月3750","C","2014-01-14","2","10000062","SSE","37.500","2014-03-26","3.8350","39.990","0.1945","3.0000","0.2859","0.3275","3.5887","","","","",""
"209000000014","510050C1402M01600","50ETF购2月1600","C","2014-01-14","2","90000014","SSE","1.600","2014-02-26","0.0120","1.495","0.1178","3.0000","0.2038","0.2147","0.0105","","","","",""
"209000000180","601318P1402M04750","中国平安沽2月4750","P","2014-01-14","2","10000092","SSE","47.500","2014-02-26","7.6560","39.990","0.1178","3.0000","0.2859","0.3992","7.4171","","","","",""
"209000000136","601318P1402M03500","中国平安沽2月3500","P","2014-01-14","2","10000056","SSE","35.000","2014-02-26","0.3090","39.990","0.1178","3.0000","0.2859","0.3590","0.1360","","","","",""
"209000000091","600104C1402M01200","上汽集团购2月1200","C","2014-01-14","2","10000011","SSE","12.000","2014-02-26","1.6680","13.110","0.1178","3.0000","0.3235","0.5762","1.3111","","","","",""
"209000000171","600104C1402M01100","上汽集团购2月1100","C","2014-01-14","2","10000083","SSE","11.000","2014-02-26","2.3930","13.110","0.1178","3.0000","0.3235","0.5845","2.1788","","","","",""
"209000000139","601318P1402M04250","中国平安沽2月4250","P","2014-01-14","2","10000059","SSE","42.500","2014-02-26","3.4470","39.990","0.1178","3.0000","0.2859","0.3649","3.0584","","","","",""
"209000000140","601318P1402M04500","中国平安沽2月4500","P","2014-01-14","2","10000060","SSE","45.000","2014-02-26","5.3840","39.990","0.1178","3.0000","0.2859","0.3687","5.1006","","","","",""
"209000000162","510180P1401M01850","180ETF沽1月1850","P","2014-01-14","2","90000082","SSE","1.850","2014-01-22","0.0020","1.918","0.0219","3.0000","0.1882","0.1818","0.0023","","","","",""
"209000000127","601318P1401M03750","中国平安沽1月3750","P","2014-01-14","2","10000047","SSE","37.500","2014-01-22","0.0950","39.990","0.0219","3.0000","0.2859","0.3446","0.0443","","","","",""
"209000000008","510050P1401M01550","50ETF沽1月1550","P","2014-01-14","2","90000008","SSE","1.550","2014-01-22","0.0570","1.495","0.0219","3.0000","0.2038","0.2106","0.0567","","","","",""
"209000000184","601318P1406M04750","中国平安沽6月4750","P","2014-01-14","2","10000096","SSE","47.500","2014-06-25","7.8270","39.990","0.4438","3.0000","0.2859","0.2876","7.8132","","","","",""
"209000000035","510050C1406M01650","50ETF购6月1650","C","2014-01-14","2","90000035","SSE","1.650","2014-06-25","0.0450","1.495","0.4438","3.0000","0.2038","0.2352","0.0341","","","","",""
"209000000032","510050C1406M01500","50ETF购6月1500","C","2014-01-14","2","90000032","SSE","1.500","2014-06-25","0.1020","1.495","0.4438","3.0000","0.2038","0.2390","0.0882","","","","",""
"209000000143","601318C1403M04000","中国平安购3月4000","C","2014-01-14","2","10000063","SSE","40.000","2014-03-26","2.3810","39.990","0.1945","3.0000","0.2859","0.3235","2.1182","","","","",""
"209000000101","600104C1403M01200","上汽集团购3月1200","C","2014-01-14","2","10000021","SSE","12.000","2014-03-26","2.5780","13.110","0.1945","3.0000","0.3235","0.8828","1.4517","","","","",""
"209000000063","510180C1403M02000","180ETF购3月2000","C","2014-01-14","2","90000063","SSE","2.000","2014-03-26","0.0460","1.918","0.1945","3.0000","0.1882","0.2214","0.0355","","","","",""
"209000000027","510050P1403M01500","50ETF沽3月1500","P","2014-01-14","2","90000027","SSE","1.500","2014-03-26","0.0520","1.495","0.1945","3.0000","0.2038","0.2050","0.0517","","","","",""
"209000000146","601318P1403M03500","中国平安沽3月3500","P","2014-01-14","2","10000066","SSE","35.000","2014-03-26","0.5250","39.990","0.1945","3.0000","0.2859","0.3382","0.3203","","","","",""
"209000000105","600104C1403M01600","上汽集团购3月1600","C","2014-01-14","2","10000025","SSE","16.000","2014-03-26","0.1620","13.110","0.1945","3.0000","0.3235","0.3900","0.0832","","","","",""
"209000000106","600104P1403M01200","上汽集团沽3月1200","P","2014-01-14","2","10000026","SSE","12.000","2014-03-26","0.4120","13.110","0.1945","3.0000","0.3235","0.3998","0.2719","","","","",""
"209000000024","510050C1403M01600","50ETF购3月1600","C","2014-01-14","2","90000024","SSE","1.600","2014-03-26","0.0240","1.495","0.1945","3.0000","0.2038","0.2216","0.0201","","","","",""
"209000000025","510050C1403M01650","50ETF购3月1650","C","2014-01-14","2","90000025","SSE","1.650","2014-03-26","0.0130","1.495","0.1945","3.0000","0.2038","0.2158","0.0110","","","","",""
"209000000022","510050C1403M01500","50ETF购3月1500","C","2014-01-14","2","90000022","SSE","1.500","2014-03-26","0.0600","1.495","0.1945","3.0000","0.2038","0.2213","0.0554","","","","",""
"209000000161","510180C1401M01850","180ETF购1月1850","C","2014-01-14","2","90000081","SSE","1.850","2014-01-22","0.0720","1.918","0.0219","3.0000","0.1882","0.1984","0.0715","","","","",""
"209000000010","510050P1401M01650","50ETF沽1月1650","P","2014-01-14","2","90000010","SSE","1.650","2014-01-22","0.1540","1.495","0.0219","3.0000","0.2038","0.1120","0.1539","","","","",""
"209000000181","601318C1403M04750","中国平安购3月4750","C","2014-01-14","2","10000093","SSE","47.500","2014-03-26","0.3790","39.990","0.1945","3.0000","0.2859","0.3251","0.2395","","","","",""
"209000000060","510180P1402M02100","180ETF沽2月2100","P","2014-01-14","2","90000060","SSE","2.100","2014-02-26","0.1840","1.918","0.1178","3.0000","0.1882","0.2206","0.1799","","","","",""
"209000000015","510050C1402M01650","50ETF购2月1650","C","2014-01-14","2","90000015","SSE","1.650","2014-02-26","0.0060","1.495","0.1178","3.0000","0.2038","0.2214","0.0044","","","","",""
"209000000132","601318C1402M03750","中国平安购2月3750","C","2014-01-14","2","10000052","SSE","37.500","2014-02-26","3.4330","39.990","0.1178","3.0000","0.2859","0.3460","3.1722","","","","",""
"209000000020","510050P1402M01650","50ETF沽2月1650","P","2014-01-14","2","90000020","SSE","1.650","2014-02-26","0.1520","1.495","0.1178","3.0000","0.2038","0.1834","0.1536","","","","",""
"209000000138","601318P1402M04000","中国平安沽2月4000","P","2014-01-14","2","10000058","SSE","40.000","2014-02-26","1.9040","39.990","0.1178","3.0000","0.2859","0.3604","1.4978","","","","",""
"209000000056","510180P1402M01900","180ETF沽2月1900","P","2014-01-14","2","90000056","SSE","1.900","2014-02-26","0.0490","1.918","0.1178","3.0000","0.1882","0.2321","0.0377","","","","",""
"209000000093","600104C1402M01400","上汽集团购2月1400","C","2014-01-14","2","10000013","SSE","14.000","2014-02-26","0.4830","13.110","0.1178","3.0000","0.3235","0.4524","0.2701","","","","",""
"209000000100","600104P1402M01600","上汽集团沽2月1600","P","2014-01-14","2","10000020","SSE","16.000","2014-02-26","3.4170","13.110","0.1178","3.0000","0.3235","0.8204","2.8587","","","","",""
